parameter,subset,n,rank_mean,frac_rank_0,frac_rank_L,ks_p,coverage_50,coverage_68,coverage_90
M,all,200,38.035,0.075,0.01,1.0882674312162998e-07,0.395,0.585,0.795
M,f_rd_in_band,166,41.993975903614455,0.012048192771084338,0.012048192771084338,0.0015646727616841479,0.45180722891566266,0.6686746987951807,0.891566265060241
M,f_rd_out_of_band,34,18.705882352941178,0.38235294117647056,0.0,3.188936552716589e-13,0.11764705882352941,0.17647058823529413,0.3235294117647059
a_star,all,200,45.485,0.01,0.01,0.07519608089216911,0.48,0.65,0.855
a_star,f_rd_in_band,166,45.45783132530121,0.006024096385542169,0.006024096385542169,0.11449142980215066,0.4879518072289157,0.6867469879518072,0.8614457831325302
a_star,f_rd_out_of_band,34,45.61764705882353,0.029411764705882353,0.029411764705882353,0.47484186657756555,0.4411764705882353,0.47058823529411764,0.8235294117647058
log10_A,all,200,60.1,0.325,0.53,6.534294713622622e-52,0.045,0.085,0.115
log10_A,f_rd_in_band,166,57.01204819277108,0.35542168674698793,0.5060240963855421,1.969153978219844e-39,0.05421686746987952,0.07228915662650602,0.10843373493975904
log10_A,f_rd_out_of_band,34,75.17647058823529,0.17647058823529413,0.6470588235294118,3.5580514181453275e-14,0.0,0.14705882352941177,0.14705882352941177
D_L,all,200,52.685,0.005,0.01,0.22147727120008065,0.485,0.68,0.905
D_L,f_rd_in_band,166,51.8855421686747,0.006024096385542169,0.006024096385542169,0.5702457872276486,0.4939759036144578,0.6807228915662651,0.9156626506024096
D_L,f_rd_out_of_band,34,56.588235294117645,0.0,0.029411764705882353,0.2616536357671174,0.4411764705882353,0.6764705882352942,0.8529411764705882
i,all,200,94.79,0.0,0.64,1.7608698736036307e-104,0.075,0.125,0.26
i,f_rd_in_band,166,94.89759036144578,0.0,0.6385542168674698,2.963223534499579e-90,0.06626506024096386,0.1144578313253012,0.25301204819277107
i,f_rd_out_of_band,34,94.26470588235294,0.0,0.6470588235294118,1.1368723167851584e-16,0.11764705882352941,0.17647058823529413,0.29411764705882354
