parameter,nominal,empirical,binomial_se,n
M,0.5,0.395,0.03456696399743547,200
a_star,0.5,0.48,0.03532704346531139,200
log10_A,0.5,0.045,0.014658615214269049,200
D_L,0.5,0.485,0.03533942557541082,200
i,0.5,0.075,0.018624580532189176,200
M,0.68,0.585,0.03484070894801081,200
a_star,0.68,0.65,0.033726843908080104,200
log10_A,0.68,0.085,0.01971991379291502,200
D_L,0.68,0.68,0.03298484500494128,200
i,0.68,0.125,0.023385358667337135,200
M,0.9,0.795,0.028546015483776364,200
a_star,0.9,0.855,0.02489728900904675,200
log10_A,0.9,0.115,0.022558257911461158,200
D_L,0.9,0.905,0.02073342711661533,200
i,0.9,0.26,0.031016124838541645,200
