campaign,parameter,n,rank_mean,rank_mean_expected,rank_sd,rank_sd_expected,frac_rank_0,frac_rank_L,ks_stat,ks_p,chi2,chi2_p,hist20,module_ks2samp_p,module_calibrated
production (TAPER_ALPHA=0.1),M,200,38.035,50.0,30.64407072096915,29.154759474226502,0.075,0.01,0.20282178217821784,1.0882674312162998e-07,87.6,8.805445056709483e-11,"36,16,13,15,8,10,7,8,9,8,7,8,6,7,9,7,9,7,5,5",4.7487878961137165e-05,False
production (TAPER_ALPHA=0.1),a_star,200,45.485,50.0,30.016741978352265,29.154759474226502,0.01,0.01,0.08970297029702978,0.07519608089216911,30.0,0.05179845889302389,"23,11,11,11,7,8,9,8,16,10,9,5,11,7,8,14,9,8,8,7",0.39352743357720954,True
production (TAPER_ALPHA=0.1),log10_A,200,60.1,50.0,46.967646300352065,29.154759474226502,0.325,0.53,0.5251485148514852,6.534294713622622e-52,1477.4,3.1408805786149495e-302,"68,0,4,1,1,2,0,3,0,2,1,2,0,0,2,0,1,2,1,110",1.464559370199308e-26,False
production (TAPER_ALPHA=0.1),D_L,200,52.685,50.0,29.84525879200596,29.154759474226502,0.005,0.01,0.07331683168316838,0.22147727120008065,10.2,0.9478383876329559,"10,12,9,7,8,10,12,8,11,7,8,9,8,13,9,10,13,16,9,11",0.0297148244707607,False
production (TAPER_ALPHA=0.1),i,200,94.79,50.0,9.526788466868693,29.154759474226502,0.0,0.64,0.7166336633663366,1.7608698736036307e-104,1902.8000000000002,0.0,"0,0,0,0,0,0,0,0,0,0,1,1,2,2,8,6,12,10,15,143",6.620619096712795e-43,False
diagnostic (TAPER_ALPHA=0.0),M,200,37.575,50.0,30.970473456675688,29.154759474226502,0.065,0.005,0.20183168316831684,1.2819203227585282e-07,111.0,5.213606338726104e-15,"38,19,13,9,9,8,14,8,10,5,3,6,6,7,12,6,10,9,3,5",7.536785951251345e-05,False
diagnostic (TAPER_ALPHA=0.0),a_star,200,45.755,50.0,30.171452696032798,29.154759474226502,0.01,0.015,0.08643564356435646,0.09491495152678764,36.0,0.010555520210487815,"22,14,11,9,6,11,7,14,8,9,11,4,10,14,8,9,5,16,6,6",0.7125821300149116,True
diagnostic (TAPER_ALPHA=0.0),log10_A,200,60.315,50.0,46.78761781609022,29.154759474226502,0.325,0.53,0.5251485148514852,6.534294713622622e-52,1455.6,1.4998933541937886e-297,"68,0,1,3,1,3,0,1,1,2,3,1,0,0,1,2,0,1,3,109",4.7831885813956123e-26,False
diagnostic (TAPER_ALPHA=0.0),D_L,200,52.25,50.0,29.179009113818818,29.154759474226502,0.01,0.02,0.051386138613861376,0.6471892619218675,11.200000000000001,0.916927393837835,"8,11,11,10,6,7,9,12,11,8,11,14,8,8,8,14,12,7,12,13",0.7933622419382523,True
diagnostic (TAPER_ALPHA=0.0),i,200,94.855,50.0,9.649848333747096,29.154759474226502,0.0,0.62,0.7167326732673267,1.6247547777421078e-104,1980.6,0.0,"0,0,0,0,0,0,0,0,0,1,0,1,2,7,3,8,7,13,12,146",2.49265231315905e-50,False
