seed,shard,i,M,a_star,eps_f,f_gr_hz,f_rd_hz,f_burst_hz,d_low_hz,d_high_hz,d_burst_low_hz,d_mask_high_hz,d_edge_hz,d_edge_frac,log10_d_low,log10_d_high,log10_d_edge,rank_M,in50_M,in68_M,in90_M,width90_M,rank_a_star,in50_a_star,in68_a_star,in90_a_star,width90_a_star,rank_eps_f,in50_eps_f,in68_eps_f,in90_eps_f,width90_eps_f,rank_eps_Q,in50_eps_Q,in68_eps_Q,in90_eps_Q,width90_eps_Q,rank_log10_A_bounce,in50_log10_A_bounce,in68_log10_A_bounce,in90_log10_A_bounce,width90_log10_A_bounce,rank_log10_dt_bounce_s,in50_log10_dt_bounce_s,in68_log10_dt_bounce_s,in90_log10_dt_bounce_s,width90_log10_dt_bounce_s,rank_D_L,in50_D_L,in68_D_L,in90_D_L,width90_D_L,rank_i,in50_i,in68_i,in90_i,width90_i
20260907,0,0,42.28662252940518,0.4927564614703514,0.1607945580640222,355.5550879648979,412.7264112016282,330.1811289613026,387.7264112016282,1532.8735887983717,310.1811289613026,1287.2735887983717,387.7264112016282,0.2018777523698991,1.2177222524809241,0.6733912964396791,0.6733912964396791,78,0,1,1,21.49678301385214,54,1,1,1,0.6630930195320288,77,0,1,1,0.4916911935879459,64,1,1,1,0.7792023618825861,15,0,0,1,0.010442408045445717,96,0,0,0,0.00014867916842420392,91,0,0,1,4847.383090761134,69,1,1,1,2.1163357328636914
20260908,0,1,238.91778885360608,0.6471480399900046,-0.23601232625052446,69.4941127441382,53.09264553467793,42.474116427742345,28.092645534677928,1892.507354465322,22.474116427742345,1646.907354465322,28.092645534677928,0.014627015273705055,0.3270943575146033,1.564019191406,0.3270943575146033,31,1,1,1,125.19119651885123,88,0,0,1,0.728699075775378,7,0,0,1,0.5026837637893316,31,1,1,1,0.6662376093182816,97,0,0,1,0.020096462435564177,22,0,1,1,0.0040938439754441,36,1,1,1,3537.1509265775776,84,0,0,1,1.3728182475217743
20260909,0,2,329.16625890667456,0.4640229096457729,-0.1512783221725939,44.93370358273937,38.13620829574188,30.508966636593506,13.13620829574188,1907.463791704258,10.508966636593506,1661.8637917042581,13.13620829574188,0.0068396377672299705,0.18339750232173965,1.7077160465988637,0.18339750232173965,100,0,0,0,82.1916296063898,94,0,0,1,0.5061996939956864,48,1,1,1,0.3023188111688461,9,0,0,1,0.27868988551602614,28,1,1,1,0.054557804583481584,93,0,0,1,0.011808360100744153,18,0,0,1,3201.1349151552527,43,1,1,1,2.474480326427702
20260910,0,3,25.44119209482095,0.9037135654427522,-0.015889322466995592,850.9444261991415,837.4234958097708,669.9387966478166,812.4234958097708,1108.176504190229,649.9387966478166,862.5765041902292,812.4234958097708,0.42300504832332125,1.5250051331678414,0.36610841575276193,0.36610841575276193,8,0,0,1,13.077663329342577,82,0,1,1,0.9209891217233707,42,1,1,1,0.5451703222244201,95,0,0,0,0.8723180533410907,91,0,0,1,2.7568544611853945,77,0,1,1,3.0654146822220953,19,0,1,1,3529.322973028976,46,1,1,1,1.6417513452967563
20260911,0,4,138.4016946433382,0.42448021293077914,0.15395785050578276,104.56609850396602,120.66487026541257,96.53189621233007,95.66487026541257,1824.9351297345872,76.53189621233007,1579.3351297345873,95.66487026541257,0.0498098876733378,0.6836408416197036,1.2074727073008997,0.6836408416197036,57,1,1,1,74.41954902413458,47,1,1,1,0.679351189072861,57,1,1,1,0.4766846893269243,82,0,1,1,0.3323791114533974,81,0,1,1,2.5871764246625446,79,0,1,1,2.974189296060255,44,1,1,1,3231.9228642656253,46,1,1,1,2.5962541237830794
20260912,0,5,44.18923652644583,0.921564418175578,-0.28103522737474956,506.2568760777307,363.9808597991952,291.1846878393562,338.9808597991952,1581.6191402008048,271.1846878393562,1336.019140200805,338.9808597991952,0.17649737571550306,1.1631385378832073,0.727975011037396,0.727975011037396,69,1,1,1,29.373808072483506,98,0,0,0,0.8576118246670318,5,0,0,0,0.5024126056841435,51,1,1,1,0.874404465262413,80,0,1,1,2.8455536210591035,100,0,0,0,2.6029049927684142,87,0,0,1,3809.4446578981106,6,0,0,1,1.6578686385022339
20260913,0,6,43.47486693804054,0.35259051854998635,0.2581911858025177,320.62052274729183,403.4019157080382,322.7215325664306,378.4019157080382,1542.1980842919618,302.7215325664306,1296.5980842919619,378.4019157080382,0.19702276148497253,1.2077979476227914,0.6833156012978119,0.6833156012978119,95,0,0,1,21.375621628203653,56,1,1,1,0.6843391214587646,93,0,0,1,0.49266850208031443,46,1,1,1,0.7837843765156665,85,0,0,1,0.11407610385914779,43,1,1,1,0.0007852163530337464,33,1,1,1,4917.730799106564,34,1,1,1,2.292056008078439
20260914,0,7,42.72162252030099,0.4582891341048743,0.10028126288526679,345.0999009401373,379.7069548279947,303.76556386239577,354.7069548279947,1565.8930451720053,283.76556386239577,1320.2930451720053,354.7069548279947,0.18468549142351073,1.1815085432103427,0.7096050057102605,0.7096050057102605,73,1,1,1,25.873157186768356,55,1,1,1,0.7509917841613561,60,1,1,1,0.540267680536471,42,1,1,1,0.8376112967810625,57,1,1,1,2.869151597442155,90,0,0,1,3.079972996137981,28,1,1,1,5009.748290236374,28,1,1,1,2.0666495784316834
20260915,0,8,170.2335335425539,0.5888580870085625,-0.054354887689636505,93.70507058644188,88.61174199876638,70.8893935990131,63.61174199876638,1856.9882580012336,50.889393599013104,1611.3882580012337,63.61174199876638,0.033120765385174625,0.5495512656686,1.3415622832520033,0.5495512656686,9,0,0,1,103.32252221168861,29,1,1,1,0.36183691791515676,11,0,1,1,0.4595535379711285,75,1,1,1,0.5615879993782231,44,1,1,1,0.011237975860169058,56,1,1,1,0.0002778189988388302,28,1,1,1,4914.38609379591,85,0,1,1,2.5123966094808203
20260916,0,9,36.64489130747387,0.33132559061826095,-0.1982637927629603,376.34474909080205,301.729211749635,241.38336939970802,276.729211749635,1643.870788250365,221.38336939970802,1398.270788250365,276.729211749635,0.14408477129523847,1.0816773495226226,0.8094361993979805,0.8094361993979805,14,0,1,1,27.33849058505966,40,1,1,1,0.7058499508621676,17,0,1,1,0.525917361814068,59,1,1,1,0.8620970462180497,90,0,0,1,0.12711795375698642,17,0,1,1,0.006308794369333848,53,1,1,1,4312.578042911768,90,0,0,1,1.7966757255621668
