parameter,nominal,empirical,binomial_se,n
M,0.5,0.49,0.03534826728426727,200
a_star,0.5,0.49,0.03534826728426727,200
eps_f,0.5,0.47,0.03529164207004259,200
eps_Q,0.5,0.485,0.03533942557541082,200
D_L,0.5,0.51,0.03534826728426727,200
i,0.5,0.52,0.03532704346531139,200
M,0.68,0.685,0.03284623266068728,200
a_star,0.68,0.645,0.033836001536824645,200
eps_f,0.68,0.63,0.034139420030223126,200
eps_Q,0.68,0.59,0.0347778665245584,200
D_L,0.68,0.665,0.0333747659167821,200
i,0.68,0.675,0.03311910324872942,200
M,0.9,0.905,0.02073342711661533,200
a_star,0.9,0.855,0.02489728900904675,200
eps_f,0.9,0.895,0.021676600286945368,200
eps_Q,0.9,0.885,0.022558257911461158,200
D_L,0.9,0.905,0.02073342711661533,200
i,0.9,0.875,0.023385358667337135,200
