seed,taper,lnL_at_truth,null_lnL,perbin_dd_mean,hw_log10_dt_bounce_s,hw_M,hw_log10_A_bounce,hw_eps_f
20260907,0.1,-120691045315.69304,-120691057493.00075,35914613.15072183,0.00014999999999998348,0.08000000000000185,0.0030000000000001137,0.0020999999999999908
20260907,0.0,-6743.71050631666,-18921.321368227043,5.63050777212529,0.00014999999999998348,0.08000000000000185,0.0030000000000001137,0.0020999999999999908
20260908,0.1,-19353285369.336037,-19353289091.536957,5759050.466161867,0.0015000000000000568,6.5120000000000005,0.005399999999999849,0.023279999999999995
20260908,0.0,-6723.3761987922935,-10444.803882213131,3.1081100676128943,0.0014250000000000096,6.4480000000000075,0.005399999999999849,0.02334
20260932,0.1,-50174593924.700096,-50174594764.84726,14930693.279228466,0.017549999999999955,6.168000000000006,0.21000000000000085,0.04302
20260932,0.0,-6599.8849071459335,-7440.079128361476,2.2139798031130713,0.01717499999999994,6.0160000000000196,0.20969999999999978,0.0432
20260933,0.1,-426006921599.0132,-426006921613.253,126768909.86854726,,4.856000000000002,,0.09774
20260933,0.0,-6725.65814234809,-6739.8842520068365,2.005619476865596,,4.856000000000002,,0.0972
20260957,0.1,-95097089498.7641,-95097089506.23273,28298494.124753077,0.034199999999999786,2.936,0.3005999999999993,0.028320000000000012
20260957,0.0,-6705.774144456202,-6713.245414167592,1.9976924309381316,0.034050000000000136,2.9280000000000044,0.3005999999999993,0.028320000000000012
20260958,0.1,-143861523969.12402,-143861524354.2234,42809559.39717999,0.16754999999999987,1.7079999999999984,,0.010829999999999992
20260958,0.0,-6852.213195712385,-7237.247193516165,2.1536221376331395,0.1681499999999998,1.7079999999999984,,0.01079999999999999
20260982,0.1,-86672798005.01953,-86672798018.1969,25791637.559350364,0.016424999999999912,1.283999999999999,0.15330000000000155,0.035699999999999996
20260982,0.0,-6879.04269662556,-6892.224215241589,2.0509520057258115,0.016424999999999912,1.283999999999999,0.15315000000000012,0.035699999999999996
20260983,0.1,-154231896170.62036,-154231898870.31976,45895521.163612485,0.0020999999999999908,0.960000000000008,0.0073499999999988574,0.002610000000000001
20260983,0.0,-6669.466663382575,-9369.865634295722,2.7882355703900377,0.0020249999999999435,0.9559999999999889,0.0073499999999988574,0.002610000000000001
