idx,network_snr,base_status,base_wall_s,base_ncall,base_niter,base_logZ_err,base_information_gain,closure_status,closure_wall_s,closure_ncall,closure_niter,closure_logZ_err,closure_information_gain,base_in90_M,closure_in90_M,base_w90_M,closure_w90_M,base_rank_M,closure_rank_M,base_in90_a_star,closure_in90_a_star,base_w90_a_star,closure_w90_a_star,base_rank_a_star,closure_rank_a_star,base_in90_i,closure_in90_i,base_w90_i,closure_w90_i,base_rank_i,closure_rank_i,base_in90_position_angle,closure_in90_position_angle,base_w90_position_angle,closure_w90_position_angle,base_rank_position_angle,closure_rank_position_angle,base_in90_ring_width_frac,closure_in90_ring_width_frac,base_w90_ring_width_frac,closure_w90_ring_width_frac,base_rank_ring_width_frac,closure_rank_ring_width_frac,base_in90_log10_total_flux_jy,closure_in90_log10_total_flux_jy,base_w90_log10_total_flux_jy,closure_w90_log10_total_flux_jy,base_rank_log10_total_flux_jy,closure_rank_log10_total_flux_jy
29,3.37185,ok,152.61,43122,2314,0.153222,3.62173,ok,383.14,116760,3404,0.223014,8.93679,0,0,1.86289e+09,8.58739e+08,98,0,1,1,0.820948,0.883414,12,16,0,0,1.36483,1.31899,1,0,1,0,2.91001,0.301364,89,100,1,1,0.245109,0.21629,83,86,1,0,0.213838,0.254826,15,4
98,4.52206,ok,154.38,44396,2631,0.179831,5.21688,ok,468.81,163023,3437,0.216514,8.09096,0,0,2.29427e+09,1.42125e+09,100,98,1,1,0.875804,0.891818,93,94,0,0,0.800011,0.594743,100,99,1,0,3.0326,0.208219,54,2,1,1,0.336889,0.287395,60,72,1,1,0.233811,0.236598,76,64
79,5.40402,ok,115.74,31387,2420,0.159815,4.03666,timeout_capped,3000,None,None,,,1,,3.92479e+09,,67,,0,,0.860076,,1,,0,,1.56918,,2,,1,,1.42844,,9,,1,,0.322511,,56,,1,,0.186262,,15,
52,8.03051,ok,112.89,29296,2162,0.15477,3.85466,timeout_capped,3000,None,None,,,0,,1.3511e+09,,98,,1,,0.883365,,28,,1,,2.21422,,50,,1,,2.24976,,58,,1,,0.298885,,63,,1,,0.149186,,6,
76,10.8808,ok,652.93,184337,3296,0.192664,5.66265,ok,337.84,106022,4097,0.247978,10.7833,1,0,4.13584e+09,1.58807e+09,68,0,1,1,0.868161,0.873538,46,61,1,1,1.03446,1.07284,24,52,0,0,1.20325,0.117684,96,0,1,1,0.205875,0.0794611,30,41,1,0,0.189671,0.111467,51,0
51,20.337,ok,253.15,72959,3304,0.216572,7.83331,ok,250.85,88267,3299,0.217843,7.92711,1,1,5.57664e+08,6.95038e+08,77,74,1,1,0.865272,0.872515,63,59,0,0,1.00481,0.81507,5,0,0,0,0.469313,0.410252,95,96,1,1,0.174185,0.183889,78,66,1,1,0.0675342,0.0653225,67,70
61,26.137,ok,271.77,70421,3630,0.228765,8.80781,timeout_capped,3000.01,None,None,,,0,,8.68021e+08,,1,,1,,0.886906,,10,,0,,1.14083,,0,,1,,0.246086,,86,,1,,0.158105,,58,,1,,0.0527809,,76,
62,28.2483,ok,438.58,115425,3877,0.228334,9.00875,ok,380.26,119278,3929,0.22945,9.29667,1,1,7.03843e+08,6.93847e+08,19,20,1,1,0.888638,0.82362,6,7,1,1,2.48031,2.35814,6,9,1,1,1.03017,0.571225,20,11,0,1,0.0726033,0.111196,96,91,1,1,0.0584515,0.056859,51,57
84,38.8803,ok,351.65,104227,3956,0.245384,10.4388,ok,334.66,116839,4056,0.250014,10.7995,1,1,1.38557e+09,1.56127e+09,40,28,1,1,0.900759,0.863984,22,23,1,1,0.255077,0.296878,74,80,1,1,0.0997404,0.118448,83,77,1,1,0.444227,0.429735,83,87,1,1,0.0451954,0.0470186,73,80
71,35.9595,ok,239.09,61081,3973,0.239769,10.1762,ok,946.21,270654,6792,0.271504,10.8653,1,1,6.29332e+08,6.8204e+08,42,45,1,1,0.835222,0.734235,83,90,1,0,2.77546,2.69533,86,96,0,0,1.57799,0.927932,1,0,1,1,0.0552167,0.0515416,21,26,1,1,0.0438832,0.0376792,56,74
97,42.5952,ok,317.22,103197,4808,0.274913,13.3671,ok,2215.57,853471,8535,0.398315,27.9299,1,0,1.17889e+09,7.66524e+07,84,0,0,0,0.848306,0.287339,1,3,1,1,1.28659,0.986516,56,42,1,0,0.214213,0.0172777,30,0,1,0,0.141523,0.0402913,86,100,1,1,0.0456435,0.030349,46,46
39,102.12,ok,516.2,134342,4619,0.271948,12.9402,ok,407.97,128838,4640,0.276358,13.1861,1,1,4.90762e+08,5.15055e+08,30,25,0,0,0.87581,0.831626,4,3,1,1,1.34559,1.30059,80,87,1,1,0.165419,0.105281,89,94,1,1,0.312933,0.304361,81,78,1,1,0.0182705,0.020952,56,59
