idx,network_snr,param,w90,window_lo,window_hi,clipped,lnl_range,h_coarse,h_fine,lnl_max_step_coarse,lnl_max_step_fine,refine_ratio_mean,refine_ratio_last,lnl_max_step_fine_over_sigma_scale,flux_max_step_jy,flux_max_step_over_thermal,dnorm_max_step,n_finite_fine
29,3.84941,M,4.93008e+09,3.12673e+09,8.0568e+09,0,3.64551,2.46504e+07,3.0813e+06,0.0529969,0.00665718,0.500818,0.500126,0.0133144,6.93889e-17,1.38778e-15,3.33278e-05,1601
29,3.84941,a_star,0.916273,0,0.648399,1,0.054121,0.003242,0.00040525,0.000522876,6.55155e-05,0.500398,0.50017,0.000131031,5.55112e-17,1.11022e-15,1.59884e-06,1601
29,3.84941,i,1.83075,0,1.50254,1,1.02505,0.0075127,0.000939087,0.0103969,0.00129964,0.500004,0.5,0.00259929,6.93889e-17,1.38778e-15,0.000265203,1601
29,3.84941,position_angle,2.59746,1.63858,3.14159,1,0.532734,0.00751505,0.000939381,0.00919631,0.00115094,0.500203,0.500071,0.00230187,5.55112e-17,1.11022e-15,6.48211e-06,1601
29,3.84941,ring_width_frac,0.350958,0.01,0.337775,1,0.938198,0.00163888,0.00020486,0.0726838,0.00917204,0.501586,0.500462,0.0183441,5.55112e-17,1.11022e-15,0.000486723,1601
29,3.84941,log10_total_flux_jy,0.231108,-1.29712,-1.06601,0,4.04184,0.00115554,0.000144442,0.0234424,0.0029303,0.5,0.5,0.00586061,0.000187105,0.00374211,4.98268e-06,1601
76,11.1608,M,5.56591e+09,3.08441e+09,8.65032e+09,0,5.53099,2.78295e+07,3.47869e+06,0.138505,0.0173547,0.500401,0.500022,0.0347095,1.66533e-16,3.33067e-15,0.00268161,1601
76,11.1608,a_star,0.89425,0.0759941,0.970244,0,0.269299,0.00447125,0.000558906,0.00988791,0.00125138,0.502068,0.500881,0.00250276,1.11022e-16,2.22045e-15,0.000237282,1601
76,11.1608,i,1.50136,0.504274,2.00563,0,11.6975,0.0075068,0.00093835,1.45993,2.2949,1.16723,1.22966,4.58979,1.11022e-16,2.22045e-15,0.0606726,1601
76,11.1608,position_angle,1.0624,1.13299,2.19538,0,7.86981,0.00531198,0.000663997,0.640882,0.0816652,0.503229,0.500892,0.16333,1.11022e-16,2.22045e-15,0.00321589,1601
