idx,network_snr,frozen_status,frozen_wall_s,base_wall_s,frozen_rank_M,frozen_in68_M,frozen_in90_M,frozen_w90_M,base_rank_M,base_in90_M,base_w90_M,frozen_rank_a_star,frozen_in68_a_star,frozen_in90_a_star,frozen_w90_a_star,base_rank_a_star,base_in90_a_star,base_w90_a_star,frozen_rank_i,frozen_in68_i,frozen_in90_i,frozen_w90_i,base_rank_i,base_in90_i,base_w90_i,frozen_rank_position_angle,frozen_in68_position_angle,frozen_in90_position_angle,frozen_w90_position_angle,base_rank_position_angle,base_in90_position_angle,base_w90_position_angle,frozen_rank_ring_width_frac,frozen_in68_ring_width_frac,frozen_in90_ring_width_frac,frozen_w90_ring_width_frac,base_rank_ring_width_frac,base_in90_ring_width_frac,base_w90_ring_width_frac,frozen_rank_log10_total_flux_jy,frozen_in68_log10_total_flux_jy,frozen_in90_log10_total_flux_jy,frozen_w90_log10_total_flux_jy,base_rank_log10_total_flux_jy,base_in90_log10_total_flux_jy,base_w90_log10_total_flux_jy
29,3.84941,ok,43.9,67.92,84,0,1,4.55178e+09,77,1,4.93008e+09,24,1,1,0.82742,23,1,0.916273,7,0,1,1.84087,4,0,1.83075,92,0,1,2.88565,95,0,2.59746,79,1,1,0.312464,77,1,0.350958,8,0,1,0.267573,4,0,0.231108
98,5.03237,ok,53.59,42.45,98,0,0,4.37939e+09,100,0,4.62937e+09,89,0,1,0.85229,92,1,0.88432,76,1,1,2.04198,81,1,1.98081,17,1,1,2.71192,10,1,2.76743,62,1,1,0.33833,63,1,0.360325,80,1,1,0.27141,70,1,0.274457
79,5.7338,ok,52.94,66.41,73,1,1,3.59427e+09,54,1,5.62425e+09,2,0,0,0.907761,0,0,0.898335,0,0,0,1.42719,0,0,1.20508,39,1,1,2.64345,13,1,2.32724,54,1,1,0.371313,69,1,0.268728,43,1,1,0.20225,22,1,0.20937
52,8.54201,ok,50.03,63.08,97,0,0,2.78873e+09,95,0,2.91645e+09,43,1,1,0.911477,35,1,0.904211,58,1,1,1.23912,61,1,1.39276,60,1,1,2.71967,52,1,2.08873,55,1,1,0.348325,60,1,0.309276,19,1,1,0.1452,18,1,0.162148
76,11.1608,ok,59.14,104.38,93,0,1,2.97761e+09,87,1,5.56591e+09,51,1,1,0.874061,56,1,0.89425,45,1,1,1.33075,29,1,1.50136,56,1,1,2.63726,18,1,1.0624,27,1,1,0.410792,26,1,0.397987,11,0,1,0.115352,6,1,0.11179
51,16.8351,ok,70.03,121.34,33,1,1,1.21743e+09,23,1,4.91899e+09,60,1,1,0.879158,59,1,0.856078,46,1,1,2.46733,15,1,1.72456,94,0,1,2.63716,99,0,1.41752,62,1,1,0.228931,66,1,0.299201,19,1,1,0.0852615,21,1,0.0973399
61,27.6487,ok,99.25,131.21,96,0,0,1.73621e+09,98,0,1.90355e+09,7,0,1,0.830394,10,1,0.892647,52,1,1,2.39948,43,1,2.59002,60,1,1,2.65165,40,1,2.75402,47,1,1,0.365774,45,1,0.385111,99,0,0,0.0523928,98,0,0.0553963
62,30.3214,ok,120.3,214.71,41,1,1,1.99898e+09,60,1,2.40828e+09,10,0,1,0.853691,5,0,0.860383,3,0,0,2.18762,13,1,2.60539,64,1,1,2.82664,53,1,2.73498,53,1,1,0.395194,59,1,0.408535,70,1,1,0.0588959,61,1,0.0523378
84,32.281,ok,138.64,184.66,76,1,1,1.10678e+09,1,0,2.94306e+09,29,1,1,0.937123,29,1,0.852798,55,1,1,2.91325,58,1,0.754913,19,1,1,2.97372,3,0,0.438094,95,0,0,0.350819,92,1,0.398279,86,0,1,0.0544149,40,1,0.0534792
71,40.5803,ok,118.12,185.64,32,1,1,6.14606e+08,53,1,6.11774e+08,82,1,1,0.808249,88,1,0.774413,75,1,1,2.95729,93,1,2.77413,18,1,1,2.69256,53,1,3.02193,19,1,1,0.0890139,9,1,0.123024,37,1,1,0.0339472,52,1,0.0369965
97,54.307,ok,128.21,100.41,100,0,0,1.13544e+09,46,1,1.34651e+09,2,0,0,0.908957,0,0,0.867239,56,1,1,2.86439,67,1,1.02747,26,1,1,2.82479,100,0,0.382576,15,0,1,0.0738139,61,1,0.161917,74,1,1,0.0259733,25,1,0.0282014
39,87.119,ok,190.02,237.27,37,1,1,5.35505e+08,17,1,4.79192e+08,6,0,1,0.917341,3,0,0.803727,44,1,1,2.85886,48,1,2.39879,3,0,0,2.75466,44,1,2.87745,96,0,0,0.171888,82,1,0.268826,11,0,1,0.015956,12,1,0.0161431
96,102.337,ok,235.95,369.09,100,0,0,1.04752e+09,56,1,9.04566e+08,56,1,1,0.85734,51,1,0.86252,37,1,1,1.76982,15,1,1.41125,44,1,1,2.62998,53,1,0.12786,8,0,1,0.411661,12,1,0.217335,66,1,1,0.0155645,22,1,0.0144911
72,180.718,ok,411.72,590.18,55,1,1,1.39727e+09,13,1,7.14208e+08,47,1,1,0.83901,36,1,0.875995,48,1,1,0.52597,44,1,0.406315,56,1,1,2.67853,48,1,0.0489346,84,0,1,0.34055,87,1,0.248239,60,1,1,0.00933704,53,1,0.00906735
95,219.982,ok,208.68,393.41,75,1,1,5.52198e+08,68,1,4.37056e+08,55,1,1,0.844959,43,1,0.837659,44,1,1,0.940855,21,1,0.764158,62,1,1,3.00157,97,0,0.132439,10,0,1,0.220731,8,1,0.253046,25,1,1,0.00812301,24,1,0.00752488
94,247.288,ok,238.03,420.16,13,0,1,4.76128e+08,11,1,4.94418e+08,2,0,0,0.837127,4,0,0.92866,75,1,1,2.94638,86,1,2.75689,80,1,1,2.68234,65,1,0.97881,2,0,0,0.0703244,3,0,0.0688455,10,0,1,0.00663781,10,1,0.00575069
23,253.743,ok,295.7,704.47,100,0,0,6.60031e+08,60,1,4.64094e+08,9,0,1,0.873168,12,1,0.868943,55,1,1,0.914956,66,1,0.655828,48,1,1,2.68088,100,0,0.051875,0,0,0,0.17817,1,0,0.166624,46,1,1,0.00722452,21,1,0.00590983
80,397.776,ok,420.35,641.2,41,1,1,5.73656e+07,13,1,1.55506e+08,0,0,0,0.128369,42,1,0.866929,39,1,1,2.09809,45,1,1.38399,8,0,1,2.79598,14,1,0.232249,100,0,0,0.00242908,83,1,0.10446,1,0,0,0.00418047,11,1,0.00433404
