idx,network_snr,total_flux_jy,status,cum_wall_s,n_shards,n_posterior,L_effective
0,73.5272,1.05237,ok,339.03,3,913,100
1,31.2804,0.49105,ok,203.59,2,999,100
2,201.1588,3.61923,ok,1351.75,9,1123,100
3,149.2457,2.08184,ok,405.69,3,1109,100
4,4.7988,0.07703,ok,62.55,1,897,100
5,334.137,5.81557,ok,584.7,4,991,100
6,7.2257,0.0957,ok,60.64,1,900,100
7,57.3193,0.77017,ok,168.65,2,872,100
8,40.1598,0.70957,ok,214.51,2,1114,100
9,16.3169,0.22991,ok,101.06,1,1044,100
10,150.0613,2.15667,ok,1320.68,9,1028,100
11,3.2829,0.06178,ok,47.87,1,709,100
12,88.1405,1.41452,ok,377.16,3,959,100
13,585.6581,9.93628,ok,900.9,6,989,100
14,13.1743,0.18897,ok,87.1,1,715,100
15,111.3337,1.6795,ok,395.08,3,976,100
16,225.8807,3.48777,ok,606.98,5,918,100
17,3.3853,0.06073,ok,53.51,1,721,100
18,3.9542,0.05637,ok,61.57,1,796,100
19,5.34,0.09826,ok,93.02,1,849,100
20,105.7796,1.51754,ok,406.59,3,928,100
21,4.9953,0.09231,ok,95.16,1,735,100
22,115.9877,1.65646,ok,389.33,3,955,100
23,253.7428,3.91166,ok,704.47,5,832,100
24,37.0875,0.56339,ok,212.21,2,1088,100
25,583.4811,9.51727,timeout_capped,1500.0,10,0,0
26,27.9982,0.51518,ok,213.94,2,951,100
27,546.4924,9.57583,ok,895.94,6,1061,100
28,70.9773,1.15441,ok,443.74,3,931,100
29,3.8494,0.06583,ok,67.92,1,787,100
30,28.623,0.44861,ok,100.43,1,1016,100
31,66.79,1.05856,ok,188.76,2,938,100
32,29.5708,0.38739,ok,105.75,1,817,100
33,7.6373,0.12631,ok,73.83,1,889,100
34,181.3296,3.00274,ok,421.65,3,914,100
35,349.2884,4.98315,timeout_capped,1500.0,10,0,0
36,10.1866,0.1451,ok,79.74,1,829,100
37,791.9294,10.60115,timeout_capped,1500.0,10,0,0
38,52.779,0.85563,ok,1040.09,7,1108,100
39,87.119,1.30076,ok,237.27,2,988,100
40,178.0205,2.87232,ok,428.45,3,1037,100
41,12.7108,0.2087,ok,101.76,1,758,100
42,40.9689,0.6869,ok,194.69,2,944,100
43,4.3111,0.07073,ok,50.88,1,694,100
44,9.3898,0.1674,ok,186.89,2,1021,100
45,47.549,0.7159,ok,186.47,2,892,100
46,6.422,0.11448,ok,74.99,1,711,100
47,378.4979,5.87823,ok,702.39,5,938,100
48,408.5654,7.45834,ok,812.07,6,1015,100
49,59.6536,0.98153,ok,198.38,2,856,100
50,244.668,4.39058,ok,536.45,4,1002,100
51,16.8351,0.24937,ok,121.34,1,865,100
52,8.542,0.12213,ok,63.08,1,771,100
53,13.4729,0.19855,ok,71.37,1,787,100
54,242.2535,3.5661,ok,570.88,4,949,100
55,386.7152,6.88528,ok,537.65,4,963,100
56,197.4114,2.63275,ok,493.32,4,840,100
57,13.1477,0.21569,ok,92.08,1,1203,100
58,7.5776,0.11788,ok,65.22,1,788,100
59,37.9459,0.49635,ok,138.89,1,783,100
60,4.2289,0.06635,ok,54.28,1,822,100
61,27.6487,0.44022,ok,131.21,1,816,100
62,30.3214,0.4924,ok,214.71,2,940,100
63,28.1469,0.45751,ok,204.31,2,953,100
64,20.033,0.39748,ok,117.48,1,748,100
65,18.8579,0.27565,ok,89.11,1,772,100
66,4.5071,0.07327,ok,82.32,1,749,100
67,43.2754,0.66459,ok,282.59,2,873,100
68,572.829,8.48857,timeout_capped,1500.0,10,0,0
69,7.4029,0.1182,ok,64.38,1,734,100
70,21.3498,0.38935,ok,122.06,1,1038,100
71,40.5803,0.79827,ok,185.64,2,850,100
72,180.7182,2.61781,ok,590.18,4,961,100
73,250.1763,4.41332,ok,1435.37,10,1213,100
74,20.3255,0.30081,ok,100.55,1,868,100
75,34.4606,0.47272,ok,146.46,1,888,100
76,11.1608,0.16312,ok,104.38,1,798,100
77,201.7627,3.75153,ok,348.04,3,938,100
78,41.9768,0.62672,ok,206.87,2,927,100
79,5.7338,0.09177,ok,66.41,1,931,100
80,397.7762,5.7632,ok,641.2,5,885,100
81,12.5356,0.20869,ok,83.84,1,888,100
82,307.0921,5.63148,ok,537.87,4,966,100
83,9.0357,0.14622,ok,80.96,1,717,100
84,32.281,0.49233,ok,184.66,2,973,100
85,19.6497,0.30565,ok,126.31,1,1050,100
86,5.3183,0.0766,ok,58.44,1,791,100
87,259.0168,3.71667,ok,860.66,6,855,100
88,140.4094,2.52305,timeout_capped,1500.0,10,0,0
89,10.1606,0.17994,ok,272.65,2,907,100
90,54.473,0.85962,ok,363.44,3,917,100
91,8.6885,0.15158,ok,96.64,1,690,100
92,212.0149,3.23067,ok,577.54,4,908,100
93,10.7648,0.21134,ok,107.21,1,827,100
94,247.2877,4.34412,ok,420.16,3,993,100
95,219.9823,2.93898,ok,393.41,3,901,100
96,102.3365,1.68546,ok,369.09,3,1007,100
97,54.307,1.04555,ok,100.41,1,1039,100
98,5.0324,0.09297,ok,42.45,1,835,100
99,48.9029,0.62324,ok,731.52,3,949,100
