idx,network_snr,total_flux_jy,r_ring_muas,status,cum_wall_s,n_shards,n_posterior,L_effective
0,73.5272,1.05237,15.491,ok,552.0,1,881,100
1,31.2804,0.49105,15.612,ok,256.0,1,1052,100
2,201.1588,3.61923,23.95,timeout_capped,1500.07,2,0,0
3,149.2457,2.08184,8.76,ok,627.0,1,885,100
4,4.7988,0.07703,20.352,ok,64.0,1,722,100
5,334.137,5.81557,19.533,ok,533.61,2,999,100
6,7.2257,0.0957,9.141,ok,45.22,1,690,100
7,57.3193,0.77017,9.522,ok,223.72,2,794,100
8,40.1598,0.70957,24.456,ok,123.4,1,1179,100
9,16.3169,0.22991,16.182,ok,128.32,1,1285,100
10,150.0613,2.15667,8.749,ok,1466.81,8,1102,100
11,3.2829,0.06178,23.469,ok,49.86,1,478,100
12,88.1405,1.41452,13.437,ok,367.42,3,1019,100
13,585.6581,9.93628,24.805,ok,863.89,5,988,100
14,13.1743,0.18897,9.393,ok,72.04,1,734,100
15,111.3337,1.6795,12.105,ok,426.67,3,919,100
16,225.8807,3.48777,11.19,ok,558.88,3,970,100
17,3.3853,0.06073,21.998,ok,55.69,1,702,100
18,3.9542,0.05637,20.466,ok,53.86,1,644,100
19,5.34,0.09826,23.699,ok,58.89,1,799,100
