idx,network_snr,base_status,base_wall_s,base_ncall,nact8_status,nact8_wall_s,nact8_ncall,base_in90_M,nact8_in90_M,base_w90_M,nact8_w90_M,base_rank_M,nact8_rank_M,base_in90_a_star,nact8_in90_a_star,base_w90_a_star,nact8_w90_a_star,base_rank_a_star,nact8_rank_a_star,base_in90_i,nact8_in90_i,base_w90_i,nact8_w90_i,base_rank_i,nact8_rank_i,base_in90_position_angle,nact8_in90_position_angle,base_w90_position_angle,nact8_w90_position_angle,base_rank_position_angle,nact8_rank_position_angle,base_in90_ring_width_frac,nact8_in90_ring_width_frac,base_w90_ring_width_frac,nact8_w90_ring_width_frac,base_rank_ring_width_frac,nact8_rank_ring_width_frac,base_in90_log10_total_flux_jy,nact8_in90_log10_total_flux_jy,base_w90_log10_total_flux_jy,nact8_w90_log10_total_flux_jy,base_rank_log10_total_flux_jy,nact8_rank_log10_total_flux_jy
29,3.8494101562589,ok,67.92,22555,ok,161.95,57739,1,1,4.93008e+09,4.91908e+09,77,73,1,1,0.916273,0.85495,23,12,0,1,1.83075,1.93351,4,7,0,0,2.59746,2.59372,95,95,1,1,0.350958,0.275654,77,85,0,0,0.231108,0.232421,4,3
98,5.032371903042772,ok,42.45,19387,ok,128.37,44628,0,0,4.62937e+09,5.45708e+09,100,97,1,1,0.88432,0.907205,92,92,1,1,1.98081,1.69214,81,89,1,1,2.76743,2.48329,10,6,1,1,0.360325,0.282448,63,65,1,1,0.274457,0.249876,70,68
79,5.733799907663962,ok,66.41,23680,ok,163.49,57899,1,1,5.62425e+09,5.56681e+09,54,71,0,0,0.898335,0.827125,0,1,0,0,1.20508,1.54342,0,0,1,1,2.32724,2.14477,13,12,1,1,0.268728,0.347533,69,67,1,1,0.20937,0.220165,22,22
52,8.542010054621464,ok,63.08,22153,ok,162.78,57736,0,0,2.91645e+09,2.70558e+09,95,96,1,1,0.904211,0.898462,35,33,1,1,1.39276,1.52737,61,61,1,1,2.08873,1.95994,52,57,1,1,0.309276,0.265375,60,55,1,1,0.162148,0.143071,18,18
76,11.160772806084438,ok,104.38,36465,ok,269.87,93317,1,1,5.56591e+09,5.1872e+09,87,86,1,1,0.89425,0.877486,56,62,1,1,1.50136,1.21331,29,19,1,1,1.0624,1.2258,18,21,1,1,0.397987,0.422102,26,23,1,1,0.11179,0.129507,6,9
51,16.835121002407544,ok,121.34,43149,ok,362.21,124369,1,1,4.91899e+09,4.84723e+09,23,22,1,1,0.856078,0.916555,59,68,1,1,1.72456,1.623,15,15,0,0,1.41752,1.1529,99,99,1,1,0.299201,0.259445,66,68,1,1,0.0973399,0.0940827,21,11
61,27.648711628019925,ok,131.21,45665,ok,412.01,137280,0,0,1.90355e+09,1.63104e+09,98,99,1,1,0.892647,0.931243,10,15,1,1,2.59002,2.55206,43,49,1,1,2.75402,2.84084,40,36,1,1,0.385111,0.394246,45,58,0,0,0.0553963,0.0506926,98,97
62,30.321427627875078,ok,214.71,73825,ok,727.65,242688,1,1,2.40828e+09,1.96111e+09,60,55,0,0,0.860383,0.831753,5,4,1,1,2.60539,2.56881,13,10,1,1,2.73498,2.93088,53,57,1,1,0.408535,0.350675,59,67,1,1,0.0523378,0.0510489,61,55
84,32.28096952530712,ok,184.66,63249,ok,633.39,203851,0,0,2.94306e+09,3.29384e+09,1,4,1,1,0.852798,0.885965,29,31,1,1,0.754913,0.743751,58,52,0,1,0.438094,0.574593,3,7,1,0,0.398279,0.351448,92,95,1,1,0.0534792,0.0518493,40,44
71,40.580344668922436,ok,185.64,64774,ok,571.27,190711,1,1,6.11774e+08,6.54886e+08,53,41,1,1,0.774413,0.804617,88,88,1,1,2.77413,2.77734,93,92,1,1,3.02193,3.06249,53,46,1,1,0.123024,0.135231,9,16,1,1,0.0369965,0.0347938,52,50
97,54.306965947408074,ok,100.41,90814,ok,650.68,269622,1,1,1.34651e+09,1.48428e+09,46,58,0,0,0.867239,0.789542,0,1,1,1,1.02747,0.972933,67,73,0,0,0.382576,0.38381,100,98,1,1,0.161917,0.139923,61,53,1,1,0.0282014,0.0333964,25,20
39,87.11900313430904,ok,237.27,78285,ok,869.45,289952,1,1,4.79192e+08,4.60504e+08,17,27,0,1,0.803727,0.902519,3,6,1,1,2.39879,2.46574,48,59,1,1,2.87745,3.06205,44,32,1,1,0.268826,0.322538,82,83,1,1,0.0161431,0.0196062,12,17
96,102.33654773001147,ok,369.09,122148,ok,1178.22,388362,1,1,9.04566e+08,7.14278e+08,56,51,1,1,0.86252,0.924149,51,52,1,1,1.41125,1.41155,15,16,1,1,0.12786,0.110483,53,55,1,1,0.217335,0.185024,12,12,1,1,0.0144911,0.0164691,22,26
72,180.71824793344956,ok,590.18,190019,ok,1685.85,572859,1,1,7.14208e+08,7.89349e+08,13,16,1,1,0.875995,0.900643,36,40,1,1,0.406315,0.404184,44,44,1,1,0.0489346,0.0615687,48,49,1,1,0.248239,0.242885,87,86,1,1,0.00906735,0.00926369,53,54
95,219.98233762573483,ok,393.41,134891,ok,1255.14,434542,1,1,4.37056e+08,4.41014e+08,68,59,1,1,0.837659,0.940734,43,43,1,1,0.764158,0.767003,21,29,0,1,0.132439,0.160985,97,89,1,1,0.253046,0.190449,8,22,1,1,0.00752488,0.00825759,24,24
