idx,network_snr,base_status,base_wall_s,base_ncall,base_niter,base_logZ_err,base_information_gain,nlive500_status,nlive500_wall_s,nlive500_ncall,nlive500_niter,nlive500_logZ_err,nlive500_information_gain,base_in90_M,nlive500_in90_M,base_w90_M,nlive500_w90_M,base_rank_M,nlive500_rank_M,base_in90_a_star,nlive500_in90_a_star,base_w90_a_star,nlive500_w90_a_star,base_rank_a_star,nlive500_rank_a_star,base_in90_i,nlive500_in90_i,base_w90_i,nlive500_w90_i,base_rank_i,nlive500_rank_i,base_in90_position_angle,nlive500_in90_position_angle,base_w90_position_angle,nlive500_w90_position_angle,base_rank_position_angle,nlive500_rank_position_angle,base_in90_ring_width_frac,nlive500_in90_ring_width_frac,base_w90_ring_width_frac,nlive500_w90_ring_width_frac,base_rank_ring_width_frac,nlive500_rank_ring_width_frac,base_in90_log10_total_flux_jy,nlive500_in90_log10_total_flux_jy,base_w90_log10_total_flux_jy,nlive500_w90_log10_total_flux_jy,base_rank_log10_total_flux_jy,nlive500_rank_log10_total_flux_jy
29,3.84941,ok,67.92,22555,1886,0.129295,2.56603,ok,121.48,42381,4027,0.0923729,2.69171,1,1,4.93008e+09,5.48959e+09,77,74,1,1,0.916273,0.906964,23,22,0,0,1.83075,1.7492,4,4,0,0,2.59746,2.50371,95,97,1,1,0.350958,0.336043,77,73,0,0,0.231108,0.232662,4,5
98,5.03237,ok,42.45,19387,1899,0.129657,2.53013,ok,111.24,38988,3829,0.0952106,2.53959,0,0,4.62937e+09,5.07285e+09,100,98,1,1,0.88432,0.906655,92,89,1,1,1.98081,1.92965,81,86,1,1,2.76743,2.55773,10,7,1,1,0.360325,0.270706,63,71,1,1,0.274457,0.255434,70,71
79,5.7338,ok,66.41,23680,2174,0.147915,3.35027,ok,129.11,45336,4324,0.102209,3.16146,1,1,5.62425e+09,5.79979e+09,54,70,0,0,0.898335,0.834881,0,0,0,0,1.20508,1.51881,0,0,1,1,2.32724,1.74521,13,10,1,1,0.268728,0.38748,69,62,1,1,0.20937,0.235,22,20
52,8.54201,ok,63.08,22153,2114,0.151559,3.66533,ok,127.94,44758,4324,0.112341,3.78953,0,0,2.91645e+09,2.46937e+09,95,95,1,1,0.904211,0.835456,35,32,1,1,1.39276,1.49885,61,58,1,1,2.08873,1.93878,52,58,1,1,0.309276,0.320238,60,64,1,1,0.162148,0.178803,18,21
76,11.1608,ok,104.38,36465,2627,0.16057,4.24888,ok,194.7,68535,5458,0.120568,4.65259,1,1,5.56591e+09,5.51107e+09,87,74,1,1,0.89425,0.821115,56,48,1,1,1.50136,1.32354,29,17,1,1,1.0624,1.26749,18,18,1,1,0.397987,0.347444,26,16,1,1,0.11179,0.116378,6,10
51,16.8351,ok,121.34,43149,2734,0.176825,5.01659,ok,245.31,86245,5504,0.126831,5.05661,1,1,4.91899e+09,4.91768e+09,23,23,1,1,0.856078,0.860425,59,72,1,1,1.72456,1.82277,15,12,0,0,1.41752,2.76102,99,99,1,1,0.299201,0.352949,66,55,1,1,0.0973399,0.086786,21,15
61,27.6487,ok,131.21,45665,2799,0.190322,5.9271,ok,263.22,91953,5560,0.136454,5.78712,0,0,1.90355e+09,1.5501e+09,98,99,1,1,0.892647,0.868785,10,10,1,1,2.59002,2.56266,43,42,1,1,2.75402,2.92635,40,39,1,1,0.385111,0.395207,45,53,0,0,0.0553963,0.0558556,98,100
62,30.3214,ok,214.71,73825,2997,0.191627,6.09418,ok,450.27,156564,6152,0.140727,6.27523,1,1,2.40828e+09,2.10059e+09,60,60,0,0,0.860383,0.886993,5,5,1,1,2.60539,2.52255,13,10,1,1,2.73498,2.8918,53,56,1,1,0.408535,0.403751,59,57,1,1,0.0523378,0.05339,61,59
84,32.281,ok,184.66,63249,3458,0.212371,7.8354,ok,361.42,126107,6904,0.15399,7.82383,0,0,2.94306e+09,3.27131e+09,1,2,1,1,0.852798,0.879256,29,29,1,1,0.754913,0.779147,58,54,0,0,0.438094,0.511214,3,5,1,1,0.398279,0.378181,92,93,1,1,0.0534792,0.0489603,40,43
71,40.5803,ok,185.64,64774,3666,0.223018,9.12707,ok,367.56,127839,7446,0.162976,9.30647,1,1,6.11774e+08,6.39589e+08,53,48,1,1,0.774413,0.798938,88,85,1,1,2.77413,2.7607,93,94,1,1,3.02193,3.02104,53,52,1,1,0.123024,0.128981,9,15,1,1,0.0369965,0.0357502,52,61
97,54.307,ok,100.41,90814,4703,0.268996,12.5477,ok,455.29,179577,9420,0.197667,12.6875,1,1,1.34651e+09,1.03339e+09,46,51,0,0,0.867239,0.889141,0,0,1,1,1.02747,0.997833,67,77,0,0,0.382576,0.37718,100,99,1,1,0.161917,0.148975,61,54,1,1,0.0282014,0.0251489,25,15
39,87.119,ok,237.27,78285,3783,0.240127,9.76474,ok,466.9,156488,7467,0.171008,9.42343,1,1,4.79192e+08,4.77917e+08,17,23,0,0,0.803727,0.916977,3,2,1,1,2.39879,2.50652,48,60,1,1,2.87745,3.06367,44,32,1,1,0.268826,0.204131,82,91,1,1,0.0161431,0.0176213,12,15
96,102.337,ok,369.09,122148,4801,0.281464,13.5629,ok,723.53,244643,9408,0.19954,13.2425,1,1,9.04566e+08,6.38602e+08,56,59,1,1,0.86252,0.842467,51,57,1,1,1.41125,1.39153,15,14,1,1,0.12786,0.10759,53,52,1,1,0.217335,0.202764,12,19,1,1,0.0144911,0.0145144,22,22
72,180.718,ok,590.18,190019,5359,0.303569,15.9266,ok,1025.51,352363,10707,0.220943,16.0502,1,1,7.14208e+08,5.07471e+08,13,13,1,1,0.875995,0.884227,36,48,1,1,0.406315,0.399554,44,32,1,1,0.0489346,0.0488658,48,39,1,1,0.248239,0.203273,87,85,1,1,0.00906735,0.0091098,53,49
95,219.982,ok,393.41,134891,4734,0.281192,13.5362,ok,824.12,274742,9575,0.205245,13.7204,1,1,4.37056e+08,4.43919e+08,68,59,1,1,0.837659,0.911204,43,46,1,1,0.764158,0.742602,21,28,0,0,0.132439,0.128596,97,97,1,1,0.253046,0.222593,8,11,1,1,0.00752488,0.00841575,24,25
94,247.288,ok,420.16,126913,4943,0.281786,14.024,ok,765.22,257243,10166,0.207388,14.5093,1,1,4.94418e+08,4.70198e+08,11,16,0,0,0.92866,0.809207,4,2,1,1,2.75689,2.76952,86,81,1,1,0.97881,0.845081,65,71,0,0,0.0688455,0.0718345,3,3,1,0,0.00575069,0.00551707,10,5
23,253.743,ok,704.47,211864,5831,0.320863,17.9181,ok,1250.44,400339,11691,0.23141,17.8739,1,1,4.64094e+08,4.35477e+08,60,56,1,1,0.868943,0.858955,12,11,1,1,0.655828,0.652623,66,81,0,0,0.051875,0.0323746,100,100,0,0,0.166624,0.158113,1,1,1,1,0.00590983,0.00573756,21,10
