idx,truth,edge_distance,linear_w90,circular_w90,width_ratio,resultant_R,n_in_bottom_decile,n_in_top_decile,rank,hit90
0,1.0719022532454638,1.0719022532454638,0.13746103029034895,0.1285048841717309,1.0696949861193545,0.9964318347336903,0,0,25,1
1,1.315404683631175,1.315404683631175,0.298225367101175,0.27773572920690115,1.073773863927352,0.9832268608959295,0,0,19,1
2,0.10305896409032794,0.10305896409032794,0.042371941192119164,0.040403509629337336,1.0487193211886854,0.9996444694786587,100,0,88,1
3,1.5525381858562195,1.5525381858562195,0.21492017756283466,0.21299506634260368,1.0090382901974566,0.9873782486800399,0,0,51,1
4,2.5441093094633,0.5974833441264931,2.2923996209097126,2.1006566551141033,1.0912776323197826,0.4590151966223091,2,6,90,1
5,0.25482230247192494,0.25482230247192494,0.025821115934088812,0.025666478102532836,1.0060248948429242,0.9998538578106781,100,0,95,0
6,1.8897172675351888,1.2518753860546044,1.559034425482546,1.5479495049130088,1.0071610349913578,0.6406975229671843,0,1,65,1
7,1.8394545167595182,1.302138136830275,0.41502919341004474,0.35002498723047193,1.1857130449283357,0.9696239907962458,0,0,38,1
8,1.7472555329417248,1.3943371206480684,0.4860066688080522,0.4793131236456223,1.013964869377077,0.9447881443420565,0,0,62,1
9,1.6912943993107052,1.4502982542790879,0.3951665917422058,0.39095393160264,1.0107753364246699,0.9701317905632402,0,0,26,1
10,1.5433853525992238,1.5433853525992238,3.1004813912358755,2.002761448170519,1.5481031922539257,0.20857877908735714,17,36,40,1
11,3.016188523442988,0.12540413014680496,2.704283015896645,2.522867669345623,1.0719083877269224,0.04163861802419114,13,5,96,0
12,0.2743110971415734,0.2743110971415734,3.1116730181437497,0.20864162221134608,14.913961007222914,0.9886106731275021,85,13,85,1
13,1.958054230547523,1.18353842304227,0.012529094577698352,0.011183186125094835,1.1203510732583917,0.9999765589644026,0,0,40,1
14,0.6179227116241652,0.6179227116241652,2.809799500805734,2.319801579838269,1.2112240655520317,0.3574421046427549,14,18,19,1
15,0.43987776828767794,0.43987776828767794,0.23766377046041592,0.23301109025301064,1.019967634168628,0.9888922092615531,0,0,23,1
16,1.5804090009048182,1.561183652684975,1.1056101073163158,1.0900078650848262,1.0143138804143175,0.7872776253464713,1,1,74,1
17,2.523488533227025,0.618104120362768,2.7369933357673015,2.276081765386259,1.2025022024210208,0.3291502541765885,10,11,83,1
18,1.7148677806380992,1.426724872951694,1.214575805847888,1.1281780318463932,1.0765816844173919,0.791567629532405,0,0,61,1
19,1.164020763293368,1.164020763293368,2.577536650437303,2.3393105177354543,1.1018360456620615,0.35570958758959587,2,8,30,1
20,1.4467116962221636,1.4467116962221636,0.08920423959964219,0.08892767119763367,1.0031100376101592,0.998342032601912,0,0,75,1
21,0.4723295851375159,0.4723295851375159,2.33486955152167,2.237331396848989,1.0435957564489784,0.29985398132370605,7,4,14,1
22,2.190763927129767,0.9508287264600259,0.21899843311259382,0.20659710024874745,1.0600266550155588,0.9899286517493652,0,0,38,1
23,1.3908422494531416,1.3908422494531416,0.051875005824632225,0.04195204010091791,1.2365311841770765,0.999587409121021,0,0,100,0
24,1.2635493095331163,1.2635493095331163,0.1319678681025802,0.13099871697488186,1.0073981726697687,0.9917503343063506,0,0,59,1
26,3.073681506198006,0.06791114739178727,3.09702533174199,1.422472426944719,2.177212909774277,0.7046835234815446,34,37,87,1
27,2.247886378610989,0.8937062749788041,0.2039583332976278,0.20302238350899282,1.004610081767627,0.9913230383839378,0,0,62,1
28,2.930868539421733,0.21072411416806025,0.3820012824358572,0.348803500360106,1.09517617237636,0.9709810059428349,0,52,70,1
29,2.937311697110635,0.20428095647915834,2.597458822421675,2.3081404468643187,1.1253469544933472,0.3592140696672792,5,6,95,0
30,1.969808160485056,1.1717844931047372,0.0978567844027527,0.09668200756843093,1.012150935462219,0.9983440922653501,0,0,92,1
31,0.04055338553571863,0.04055338553571863,2.943016519182278,2.4038854068084987,1.2242748805108614,0.07141167899339122,14,18,3,0
32,1.5058946305896865,1.5058946305896865,0.5017647339212412,0.44152870824809365,1.1364260682213694,0.9637880729659538,0,0,65,1
33,2.346430093041277,0.795162560548516,2.6777215084087187,2.2085043292478472,1.2124592526022684,0.36928380567370817,6,12,60,1
34,2.5983633475651877,0.5432293060246054,0.12631304175643843,0.12484067191126957,1.0117939916745669,0.9961529717651105,0,0,97,0
36,1.9032573818765812,1.238335271713212,0.8533650085485702,0.8250785080533682,1.034283404814336,0.8573180599297366,2,5,4,0
38,0.0769157296429137,0.0769157296429137,0.8480522558513529,0.2774831874138326,3.056229329622719,0.9699374185281886,88,5,39,1
39,0.14984780356571928,0.14984780356571928,2.8774537579458124,0.563408426306288,5.107225280265032,0.9066011992108284,71,7,44,1
40,0.7210866362741666,0.7210866362741666,0.08166614240901282,0.08128401030949639,1.0047011964353312,0.9987231224857943,0,0,0,0
41,3.076077905232593,0.06551474835720006,2.8641352286987014,2.532427878613455,1.1309839276713622,0.23701488402990817,16,14,99,0
42,2.909810674109914,0.23178197947987922,2.065654496192783,1.5649478289282746,1.3199510284041918,0.5924000681698521,1,8,95,0
43,2.934787460199541,0.20680519339025194,2.662909922401478,2.5381820722166486,1.0491406237362246,0.2299014363683916,4,10,91,1
44,0.42529346354622155,0.42529346354622155,2.921051106581194,2.3976540209699424,1.2182955009495147,0.36836570033562144,18,22,26,1
45,2.910920875017245,0.23067177857254828,0.5581272224749592,0.3194767764229831,1.7470040505730093,0.9736031161504173,4,89,23,1
46,2.766096327782551,0.3754963258072421,2.7407601224458378,2.5986371084068782,1.0546913663239765,0.12840127026562168,9,10,87,1
47,2.0420620254696233,1.0995306281201698,0.04657779720332966,0.046311242367438776,1.005755726304555,0.9995453210798979,0,0,90,1
48,2.6100119985763035,0.5315806550134896,0.042840059977736544,0.04247685446475202,1.0085506687715287,0.9995745527409853,0,0,68,1
49,3.111166747785238,0.030425905804555065,1.5957304767911886,1.5892879697507174,1.0040537065422332,0.5605093469950209,1,18,99,0
50,0.5234021110766075,0.5234021110766075,0.05649134263714628,0.0561045853312091,1.0068935061841022,0.9993640903989744,0,0,75,1
51,2.975292282420441,0.16630037116935226,1.417522036174045,0.9188168082687356,1.542768943076897,0.7880798990148986,3,6,99,0
52,1.782037813510824,1.3595548400789692,2.088730768638686,1.980167098496716,1.0548255095362349,0.5169603464376483,1,3,52,1
53,1.6167347103413028,1.5248579432484903,2.1552090840215823,1.7411769218953415,1.2377886801276634,0.602569482308792,8,3,88,1
54,0.4917900213582157,0.4917900213582157,0.12010241380643133,0.11978853990522442,1.0026202331329461,0.9970714971816026,0,0,16,1
55,1.2717227704650487,1.2717227704650487,0.05586613043870092,0.05550584621246735,1.00649092394438,0.9994060446315746,0,0,9,1
56,1.7225084710376564,1.4190841825521368,0.06251088977727126,0.05684490900941763,1.0996743748312612,0.9993679509574496,0,0,94,1
57,0.5181210930934652,0.5181210930934652,2.7255185923130503,1.586444143451759,1.7180047615057608,0.6544682246002473,8,7,30,1
58,2.7991613399880633,0.34243131360172985,2.8526000169392276,1.9119100705297651,1.492015791385423,0.49380584798374383,12,21,76,1
59,1.6731595668646075,1.4684330867251856,0.36759189393090996,0.3639610151879151,1.0099760100436037,0.9695300670970277,0,0,47,1
