idx,status,network_snr,total_flux_jy,r_ring_muas,cum_wall_s,n_posterior,rank_M,rank_a_star,rank_i,rank_position_angle,rank_ring_width_frac,rank_log10_total_flux_jy,in90_M,in90_a_star,in90_i,in90_position_angle,in90_ring_width_frac,in90_log10_total_flux_jy
0,ok,186.587,2.92913,25.3867,328.77,920,95,70,80,59,8,72,0,1,1,1,1,1
1,ok,83.5691,1.49655,24.8465,210.39,1043,86,98,80,71,18,84,1,0,1,1,1,1
2,ok,465.963,8.6963,29.0664,1640.94,1017,52,44,14,54,1,48,1,1,1,1,0,1
3,ok,312.488,5.34259,20.8926,345.29,986,17,38,81,37,27,61,1,1,1,1,1,1
4,ok,17.0015,0.292671,27.2805,88.73,888,72,88,43,76,67,52,1,1,1,1,1,1
5,ok,694.894,13.2067,27.3895,489.7,960,36,34,100,100,47,98,1,1,0,0,1,0
6,ok,23.0387,0.354325,21.4587,98.91,846,4,83,98,84,27,96,0,1,0,1,1,0
7,ok,137.954,2.2248,22.1152,305.56,914,33,22,38,26,60,15,1,1,1,1,1,1
8,ok,110.992,2.06984,29.3523,240.1,1022,32,9,54,51,66,32,1,1,1,1,1,1
9,ok,51.9123,0.766937,25.9869,159.25,873,16,0,42,21,22,33,1,0,1,1,1,1
10,ok,315.416,5.5114,20.9544,393.67,1010,2,24,75,76,42,92,0,1,1,1,1,1
11,ok,12.1958,0.240982,28.8153,77.04,802,71,56,55,90,96,24,1,1,1,1,0,1
12,ok,207.186,3.80094,23.7299,419.97,1181,93,91,14,97,67,34,1,1,1,0,1,1
13,ok,1189.34,21.1708,29.4615,633.03,988,25,22,27,39,30,93,1,1,1,1,1,1
14,ok,37.1052,0.645249,22.0865,150.46,933,3,16,34,81,97,17,0,1,1,1,0,1
15,ok,253.327,4.42165,23.6095,447.26,940,71,72,42,4,38,48,1,1,1,0,1,1
16,ok,456.022,8.4174,23.0856,418.18,1005,20,42,10,74,64,50,1,1,1,1,1,1
17,ok,12.3662,0.237361,27.2132,73.49,814,59,99,86,82,57,6,1,0,1,1,1,1
18,ok,14.9646,0.22228,27.8313,82.75,748,73,23,77,66,8,24,1,1,1,1,1,1
19,ok,18.4687,0.362658,28.6825,91.09,848,71,59,10,35,34,48,1,1,1,1,1,1
20,ok,252.673,4.04378,26.3209,470.32,1134,31,13,24,67,52,96,1,1,1,1,1,0
21,ok,16.6502,0.343239,26.3359,82.04,796,77,67,79,23,100,63,1,1,1,1,0,1
22,ok,263.513,4.36818,22.7264,321.7,1036,94,89,56,9,55,41,1,1,1,1,1,1
23,ok,565.247,9.31243,28.3899,1299.23,1160,13,11,90,32,26,27,1,1,1,1,1,1
24,ok,104.185,1.68919,28.3307,312.84,981,35,6,72,37,92,68,1,1,1,1,1,1
25,timeout_capped,1118.27,20.3823,25.7004,3000,,,,,,,,,,,,,
26,ok,79.9022,1.56117,27.7395,157.92,932,19,89,17,58,78,44,1,1,1,1,1,1
27,ok,1065.88,20.4927,27.3035,899.94,951,81,79,32,29,76,4,1,1,1,1,1,0
28,ok,174.854,3.17793,26.0091,1461.06,958,36,22,56,97,56,4,1,1,1,0,1,0
29,ok,13.2222,0.254843,26.3555,72.64,777,67,21,11,93,90,51,1,1,1,1,1,1
30,ok,86.2474,1.382,30.2248,183.09,931,59,65,95,88,42,49,1,1,0,1,1,1
