param,target,n,rank_mean,rank_sd,ks_p,cov68,cov90
M,SgrA*,99,46.8788,28.4172,0.252035,0.6768,0.8788
a_star,SgrA*,99,43.3434,30.4172,0.071047,0.5960,0.7980
i,SgrA*,99,47.1818,28.2913,0.073278,0.6667,0.9091
position_angle,SgrA*,99,54.7273,31.7695,0.057294,0.6162,0.7879
ring_width_frac,SgrA*,99,52.8990,28.9727,0.270834,0.6263,0.9091
log10_total_flux_jy,SgrA*,99,46.6162,28.3598,0.125271,0.6768,0.8687
M,M87*,95,50.1474,30.4750,0.835345,0.5895,0.8632
a_star,M87*,95,43.4211,29.7820,0.134459,0.6211,0.8316
i,M87*,95,48.0421,30.1122,0.587490,0.6316,0.8421
position_angle,M87*,95,56.5263,31.7044,0.019304,0.5474,0.8000
ring_width_frac,M87*,95,51.0211,30.7595,0.781698,0.6000,0.8421
log10_total_flux_jy,M87*,95,39.5895,27.6761,0.001435,0.6947,0.8526
