tag,idx,snr,calls,wall_s,calls_per_s,calls_per_s_second_half,steal_frac
clean,73,489.654,8768,60.1045,145.879,145.526,0.00191411
clean,43,891.246,8832,60.2253,146.649,146.445,0.00240834
clean,25,106.309,8832,60.3752,146.285,145.318,0.00174
loaded-1x,73,489.654,8704,60.132,144.748,143.839,0.00327407
loaded-1x,43,891.246,8704,60.13,144.753,144.819,0.00369893
loaded-1x,25,106.309,8768,60.344,145.3,145.678,0.00310713
loaded-saturated,73,489.654,4480,45.5377,98.38,97.9729,0.00834477
loaded-saturated,43,891.246,4608,45.6493,100.943,106.827,0.00722971
loaded-saturated,25,106.309,4032,45.3126,88.9818,88.2433,0.00866207
clean-repeat,73,489.654,6656,45.4208,146.541,146.038,0.00220143
clean-repeat,43,891.246,6528,45.0775,144.817,143.103,0.00188669
clean-repeat,25,106.309,6656,45.2708,147.026,147.101,0.00165709
