channel,model,parameter,in_likelihood_list,max_abs_data_change,abs_dlnL,data_moves,lnL_moves
xray,pbh_tunneling,log10_M_g,False,0.0,0.0,False,False
xray,pbh_tunneling,log10_f_pbh,False,0.0,0.0,False,False
xray,pbh_tunneling,log10_k_tunnel,False,0.0,0.0,False,False
xray,pbh_tunneling,log10_eta_r,False,0.0,0.0,False,False
xray,pbh_tunneling,log10_eta_gamma,True,0.0,0.0,False,False
xray,pbh_tunneling,z,False,0.0,0.0,False,False
xray,pbh_tunneling,DM_host,False,0.0,0.0,False,False
xray,pbh_tunneling,log10_W_int_ms,False,0.0,0.0,False,False
xray,pbh_tunneling,log10_tau_sc_ms,False,0.0,0.0,False,False
xray,pbh_tunneling,spectral_index,False,0.0,0.0,False,False
xray,grb_frb,log10_fluence_jy_ms,False,0.0,0.0,False,False
xray,grb_frb,log10_T90_s,True,599.0,3273.586196071908,True,True
xray,grb_frb,z,False,0.0,0.0,False,False
xray,grb_frb,spectral_index,False,0.0,0.0,False,False
xray,grb_frb,DM,False,0.0,0.0,False,False
image,gr_eternal,M,True,0.0,0.0,False,False
image,gr_eternal,a_star,True,0.0,0.0,False,False
image,gr_eternal,D_L,True,0.0,0.0,False,False
image,gr_eternal,i,True,0.0,0.0,False,False
image,gr_eternal,position_angle,True,0.0,0.0,False,False
image,gr_eternal,log10_ne,False,0.0,0.0,False,False
image,gr_eternal,log10_B,False,0.0,0.0,False,False
image,gr_eternal,ring_width_frac,True,0.0,0.0,False,False
image,gr_eternal,log10_brightness,True,0.0,0.0,False,False
image,bh_accretion,M,True,0.0,0.0,False,False
image,bh_accretion,a_star,True,0.0,0.0,False,False
image,bh_accretion,D_L,True,0.0,0.0,False,False
image,bh_accretion,i,True,0.0,0.0,False,False
image,bh_accretion,log10_mdot_edd,False,0.0,0.0,False,False
image,bh_accretion,jet_power_frac,False,0.0,0.0,False,False
